"Fort Albany and Kashechewan First Nation [First Nation/Indian band or Tribal Council area], Ontario (Total - Sex) (Total - Age groups)"
"Topic","Characteristics","Note","Total_Aboriginal_identity(1)","Flag_Total_Aboriginal_identity","Aboriginal_identity(2)","Flag_Aboriginal_identity","Single_Aboriginal_responses(3)","Flag_Single_Aboriginal_responses","First_Nations(4)","Flag_First_Nations","Métis","Flag_Métis","Inuk (Inuit)","Flag_Inuk","Multiple_Aboriginal_responses(5)","Flag_Multiple_Aboriginal_responses","Aboriginal_responses_nie(6)","Flag_Aboriginal_responses_nie","Non-Aboriginal_identity","Flag_Non-Aboriginal_identity"
"Family characteristics","    Living with one parent in a lone-parent census family",14,370,,360,,365,,365,,0,,0,,0,,0,,0,
"Family characteristics","      With a male lone parent",,95,,95,,95,,95,,0,,0,,0,,0,,0,
"Family characteristics","      With a female lone parent",,270,,270,,270,,270,,0,,0,,0,,0,,0,
"Family characteristics","    Living with grandparents without parents present",,80,,80,,80,,80,,0,,0,,0,,0,,0,
"Family characteristics","      With two grandparents without parents present",,40,,40,,40,,40,,0,,0,,0,,0,,0,
"Family characteristics","      With one grandparent without parents present",,40,,40,,40,,40,,0,,0,,0,,0,,0,
"Family characteristics","  Persons not in census families",,240,,225,,225,,225,,0,,0,,0,,0,,15,
"Family characteristics","    Living with other relatives",,165,,165,,165,,165,,0,,0,,0,,0,,0,
"Family characteristics","    Foster children",,20,,20,,20,,20,,0,,0,,0,,0,,0,
"Family characteristics","    Living with non-relatives only or alone",,55,,40,,40,,40,,0,,0,,0,,0,,15,
"Registered or Treaty Indian status","Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data",15,2165,,2110,,2115,,2110,,0,,0,,0,,0,,50,
"Registered or Treaty Indian status","  Registered or Treaty Indian",16,2105,,2105,,2105,,2105,,0,,0,,0,,0,,0,
"Registered or Treaty Indian status","  Not a Registered or Treaty Indian",,60,,10,,10,,10,,0,,0,,0,,0,,50,
"Aboriginal ancestry","Total - Aboriginal ancestry for the population in private households - 25% sample data",17,2165,,2115,,2115,,2115,,0,,0,,0,,0,,50,
"Aboriginal ancestry","  Aboriginal ancestry (only)",18,2055,,2055,,2055,,2055,,0,,0,,0,,0,,0,
"Aboriginal ancestry","    Single Aboriginal ancestry (only)",19,2055,,2055,,2055,,2055,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      First Nations (North American Indian) single ancestry",20,2055,,2055,,2055,,2055,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      Métis single ancestry",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      Inuit single ancestry",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","    Multiple Aboriginal ancestries (only)",21,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      First Nations (North American Indian) and Métis ancestries",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      First Nations (North American Indian) and Inuit ancestries",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      Métis and Inuit ancestries",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      First Nations (North American Indian), Métis and Inuit ancestries",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","  Aboriginal and non-Aboriginal ancestries",22,55,,55,,55,,55,,0,,0,,0,,0,,0,
"Aboriginal ancestry","    Single Aboriginal and non-Aboriginal ancestries",23,55,,55,,55,,55,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      First Nations (North American Indian) and non-Aboriginal ancestries",,55,,55,,55,,55,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      Métis and non-Aboriginal ancestries",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      Inuit and non-Aboriginal ancestries",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","    Multiple Aboriginal and non-Aboriginal ancestries",24,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      First Nations (North American Indian), Métis and non-Aboriginal ancestries",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      First Nations (North American Indian), Inuit and non-Aboriginal ancestries",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      Métis, Inuit and non-Aboriginal ancestries",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","      First Nations (North American Indian), Métis, Inuit and non-Aboriginal ancestries",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry","  Non-Aboriginal ancestry (only)",25,55,,0,,0,,0,,0,,0,,0,,0,,50,
"Aboriginal ancestry responses","Total - Aboriginal ancestry responses for the population in private household - 25% sample data",26,2160,,2115,,2110,,2110,,0,,0,,0,,0,,50,
"Aboriginal ancestry responses","  Total Aboriginal ancestry",27,2110,,2110,,2110,,2110,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","    First Nations ancestry",,2110,,2110,,2110,,2110,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Abenaki",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Algonquin",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Anishinaabe, n.o.s.",28,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Apache",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Assiniboine",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Atikamekw",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Beaver (Dunne-za)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Blackfoot, n.o.s.",29,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Blood (Kainai)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Carrier (Dakelh)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Cayuga",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Cherokee",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Chilcotin (Tsilhqot'in)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Chipewyan (Denesuline)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Cowichan",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Cree",,2095,,2095,,2095,,2095,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Dakota",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Delaware (Lenape)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Dene Tha (Slavey)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Dene, n.o.s.",30,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Gitxsan",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Gwich'in",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Haida",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Haisla",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Heiltsuk",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Huron (Wendat)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Innu/Montagnais",,0,,0,,0,,10,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Iroquois, n.o.s.",31,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Kaska",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Ktunaxa (Kutenai)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Kwakwaka'wakw (Kwakiutl)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Lakota",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Maliseet",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Mi'kmaq",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Mohawk",,0,,10,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Musqueam",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Naskapi",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Navajo",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Nisga'a",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Nlaka'pamux (Thompson)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Nuu-chah-nulth",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Nuxalk",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Odawa",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Ojibway",,15,,15,,15,,20,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Oji-Cree",,0,,0,,0,,10,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Okanagan (Syilx)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Oneida",,0,,10,,0,,10,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Potawatomi",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Sahtu (North Slavey)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Salish, n.o.s.",32,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Saulteaux",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Sechelt (Shishalh)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Secwepemc (Shuswap)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Sekani",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Sioux, n.o.s.",33,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Squamish",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      St'at'imc (Lillooet)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Sto:lo",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Stoney (Nakoda)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Tahltan",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Tlicho (Dogrib)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Tlingit",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Tsimshian",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Tsuu T'ina (Sarcee)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Tutchone, n.o.s.",34,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      Wet'suwet'en",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","      First Nations ancestry, n.i.e.",35,10,,10,,10,,10,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","    Métis ancestry",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","    Inuit ancestry",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Aboriginal ancestry responses","  Non-Aboriginal ancestry",,105,,55,,60,,55,,0,,0,,0,,0,,50,
"Knowledge of official languages","Total - Knowledge of official languages for the population in private households - 25% Sample Data",36,2160,,2115,,2110,,2110,,0,,0,,0,,0,,50,
"Knowledge of official languages","  English only",,2135,,2085,,2085,,2090,,0,,0,,0,,0,,50,
"Knowledge of official languages","  French only",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Knowledge of official languages","  English and French",,10,,0,,10,,0,,0,,0,,0,,0,,0,
"Knowledge of official languages","  Neither English nor French",,20,,20,,20,,20,,0,,0,,0,,0,,0,
"First official language spoken","Total - First official language spoken for the population in private households - 25% Sample Data",37,2165,,2115,,2115,,2115,,0,,0,,0,,0,,50,
"First official language spoken","  English",,2145,,2095,,2095,,2090,,0,,0,,0,,0,,50,
"First official language spoken","  French",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"First official language spoken","  English and French",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"First official language spoken","  Neither English nor French",,20,,20,,20,,20,,0,,0,,0,,0,,0,
"Official language minority","Official language minority (number)",38,10,,0,,0,,0,,0,,0,,0,,0,,0,
"Official language minority","Official language minority (percentage)",39,0.5,,0,,0,,0,,,...,,...,,...,,...,0,
"Mother tongue","Total - Mother tongue for the population in private households - 25% Sample Data",40,2165,,2115,,2115,,2115,,0,,0,,0,,0,,50,
"Mother tongue","  Official languages",,685,,650,,645,,650,,0,,0,,0,,0,,40,
"Mother tongue","    English",,680,,645,,650,,650,,0,,0,,0,,0,,40,
"Mother tongue","    French",,10,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","  Non-official languages",,1615,,1605,,1605,,1605,,0,,0,,0,,0,,10,
"Mother tongue","    Aboriginal languages",,1605,,1600,,1600,,1600,,0,,0,,0,,0,,0,
"Mother tongue","      Algonquian languages",,1605,,1605,,1605,,1600,,0,,0,,0,,0,,0,
"Mother tongue","        Blackfoot",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Cree-Montagnais languages",,1600,,1600,,1595,,1600,,0,,0,,0,,0,,10,
"Mother tongue","          Atikamekw",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Montagnais (Innu)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Moose Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Naskapi",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Northern East Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Plains Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Southern East Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Swampy Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Woods Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Cree, n.o.s.",,1600,,1600,,1600,,1595,,0,,0,,0,,0,,0,
"Mother tongue","        Eastern Algonquian languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Malecite",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Mi'kmaq",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Ojibway-Potawatomi languages",,0,,0,,0,,10,,0,,0,,0,,0,,0,
"Mother tongue","          Algonquin",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Ojibway",,0,,0,,0,,10,,0,,0,,0,,0,,0,
"Mother tongue","          Oji-Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Ottawa (Odawa)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Algonquian languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","      Athabaskan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Northern Athabaskan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Babine (Wetsuwet'en)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Beaver",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Carrier",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Chilcotin",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Dene",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Dogrib (Tlicho)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Gwich'in",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Sarsi (Sarcee)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Sekani",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Slavey-Hare languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","            North Slavey (Hare)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","            South Slavey",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","            Slavey, n.o.s.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Tahltan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","            Kaska (Nahani)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","            Tahltan",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","          Tutchone languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","            Northern Tutchone",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","            Southern Tutchone",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Athabaskan languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","      Haida",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","      Inuit languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Inuinnaqtun",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Inuktitut",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Inuvialuktun",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Inuit languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","      Iroquoian languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Cayuga",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Mohawk",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Oneida",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Iroquoian languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","      Kutenai",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","      Michif",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","      Salish languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Comox",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Halkomelem",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Lillooet",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Okanagan",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Shuswap (Secwepemctsin)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Squamish",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Straits",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Thompson (Ntlakapamux)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Salish languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","      Siouan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Dakota",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Stoney",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Siouan languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","      Tlingit",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","      Tsimshian languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Gitxsan (Gitksan)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Nisga'a",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Tsimshian",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","      Wakashan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Haisla",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Heiltsuk",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Kwakiutl (Kwak'wala)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Nuu-chah-nulth (Nootka)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","        Wakashan languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","      Aboriginal languages, n.o.s.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Mother tongue","    Non-Aboriginal languages",,15,,0,,0,,0,,0,,0,,0,,0,,10,
"Language spoken at home","Total - Language spoken at home for the population in private households - 25% Sample Data",41,2165,,2115,,2115,,2115,,0,,0,,0,,0,,50,
"Language spoken at home","  Official languages",,1755,,1710,,1710,,1710,,0,,0,,0,,0,,45,
"Language spoken at home","    English",,1755,,1710,,1710,,1710,,0,,0,,0,,0,,50,
"Language spoken at home","    French",,0,,0,,0,,10,,0,,0,,0,,0,,0,
"Language spoken at home","  Non-official languages",,1455,,1435,,1435,,1435,,0,,0,,0,,0,,15,
"Language spoken at home","    Aboriginal languages",,1435,,1435,,1435,,1440,,0,,0,,0,,0,,0,
"Language spoken at home","      Algonquian languages",,1435,,1435,,1435,,1435,,0,,0,,0,,0,,0,
"Language spoken at home","        Blackfoot",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Cree-Montagnais languages",,1440,,1440,,1435,,1435,,0,,0,,0,,0,,0,
"Language spoken at home","          Atikamekw",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Montagnais (Innu)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Moose Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Naskapi",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Northern East Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Plains Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Southern East Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Swampy Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Woods Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Cree, n.o.s.",,1440,,1435,,1440,,1435,,0,,0,,0,,0,,0,
"Language spoken at home","        Eastern Algonquian languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Malecite",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Mi'kmaq",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Ojibway-Potawatomi languages",,0,,10,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Algonquin",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Ojibway",,0,,10,,10,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Oji-Cree",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Ottawa (Odawa)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Algonquian languages, n.i.e.",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","      Athabaskan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","        Northern Athabaskan languages",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Babine (Wetsuwet'en)",,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Language spoken at home","          Beaver",,0,,0,,0,,0,,0,,0,,0,,0,,0,
